"roomId","00:23:69:5a:d7:7a","00:80:48:79:cc:79","00:80:48:7a:2d:45","00:80:48:7a:2d:44","00:80:48:79:cc:70","00:80:48:7a:2d:1a","00:80:48:79:cc:73","00:80:48:79:cc:7b","00:80:48:79:cc:71","00:80:48:79:cc:7c","00:80:48:79:cc:77","00:80:48:79:cc:78","00:80:48:79:cc:72","00:80:48:7a:2d:42","00:80:48:7a:2d:3e","00:80:48:7a:2d:1e","00:80:48:79:cc:5c","00:80:48:7a:2d:46","e8:de:27:90:b2:ea","00:80:48:79:cc:7f","00:80:48:79:cc:62","00:80:48:79:cc:5d","00:80:48:79:cc:8b","00:80:48:79:cc:7a","00:80:48:79:cc:65","00:80:48:79:cc:5f"
"8Bl4jTGNbufAYwfExEvA",,,,,,-84,,,,,,-80,,-90,-82,-84,,,,,,,,,,
"8Bl4jTGNbufAYwfExEvA",,,,,-86,-84,,,,,,-76,,-87,-82,-84,,,,,,,,,,
"8Bl4jTGNbufAYwfExEvA",,,,,-86,-84,,,,,,-73,,-86,-78,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-69,,,-76,,,,,,,-81,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-63,,,-74,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-75,,,-80,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-71,,,-78,,,,,,,-84,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-67,,,-80,,,,,,,-91,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-68,,,-78,,,,,,,-91,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-71,,,-74,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-68,,,-73,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",-81,-70,,,-80,,,,,,-94,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",-81,-78,,,-77,,,,,,-94,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-71,,,-65,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-64,,,-76,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-62,,,-70,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-60,,,-70,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-60,,,-67,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-68,,,-71,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-63,,,-62,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-59,,,-66,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",-89,-63,,,-67,,,,,,,,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",-89,-67,,,-76,,,,,,,-83,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-64,,,-71,,,,,,,-81,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",-83,-65,,,-75,,,,,,,-81,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",-83,-61,,,-79,,,,,,,-84,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",,-62,,,-74,,,-85,,,,-90,,,,,,,,,,,,,,
"dtIUDFj4XS8li0NI26Lk",-81,-59,,,-70,,,-85,,,,-90,,,,,,,,,,,,,,
